,NM,SNIPS,IPS,SMIPS,BIPW,true_val,policy,trial
23,0.009800000000000001,0.6932399943254172,0.8104466438357898,0.5502129403009823,0.496272363640368,0.5929006852544804,greedy_beta=0.6,4
24,0.005725877287766138,0.6467282385228318,0.5936844660176,0.4713642814381712,0.5279428018415346,0.6931605328060729,content_based_filtering_,4
25,0.009307415750597936,0.5713118899866931,0.5621150622593909,0.4356329530786826,0.5084794264677912,0.6043221616612536,softmax_from_reward_beta=-1,5
26,0.012702836128703335,0.38586493954340895,0.3462836107907837,0.3252371255525128,0.2351793580125086,0.5250020451495724,softmax_from_reward_beta=5,5
27,0.012000000000000002,0.43756128146188394,0.27910006805010434,0.3552965658159968,0.2730567686483264,0.49114353243400954,greedy_beta=0.2,5
28,0.015400000000000004,0.41208541040388924,0.32374402905530936,0.31144203701547774,0.33975614995509384,0.5713188946365038,greedy_beta=0.6,5
29,0.00647766791493968,0.6383143426406327,0.6444767674578167,0.4754765269575544,0.5405657061450183,0.6697180327687561,content_based_filtering_,5
30,0.009812195241842953,0.5186876976169766,0.4793773883896988,0.40763005187347173,0.46061717457324264,0.5794193337517168,softmax_from_reward_beta=-1,6
31,0.013984724546710917,0.4169858065639033,0.36750949546617895,0.34443474096842186,0.38796485029533506,0.4835959396898801,softmax_from_reward_beta=5,6
32,0.016,0.20463339185951052,0.11718848123583749,0.1952322198612209,0.3092696047881618,0.4560833584617861,greedy_beta=0.2,6
33,0.010400000000000003,0.40003919807494276,0.2926894651397773,0.30205975242281874,0.6928077690042556,0.5665593832540115,greedy_beta=0.6,6
34,0.005732334544037457,0.6364038036693361,0.5574211187242476,0.45615175175315587,0.6097306584026665,0.684145904006772,content_based_filtering_,6
35,0.009832280540144197,0.5994840475112542,0.5983743471796752,0.47034945947076445,0.4817135488316417,0.5784257017823886,softmax_from_reward_beta=-1,7
36,0.012709085865073865,0.5559411283174052,0.5696876442976322,0.46533734585703834,0.4324581091101281,0.5015901975961514,softmax_from_reward_beta=5,7
37,0.026000000000000002,0.49920812478039306,0.5439151272151604,0.40946967700402237,0.2376782377511263,0.4126188527506283,greedy_beta=0.2,7
38,0.016800000000000006,0.4637640006771798,0.4297329740702524,0.37455607001773,0.3412905887197703,0.4826777555875259,greedy_beta=0.6,7
39,0.006473696453124651,0.6920091384545624,0.7141175056934528,0.5090196343396378,0.5825473741986789,0.6682445777266601,content_based_filtering_,7
40,0.011616824494264119,0.49100660694809195,0.4605120226390551,0.39777691926027564,0.37934653835743665,0.537218215899035,softmax_from_reward_beta=-1,8
41,0.01107935413403001,0.43387886589039576,0.4157025684651286,0.3667635070818509,0.4791548998486251,0.5524903657585303,softmax_from_reward_beta=5,8
42,0.020000000000000004,0.5964488946449829,0.6427176750806509,0.35302541892548733,0.4737967684483156,0.6096390209422152,greedy_beta=0.2,8
43,0.013600000000000001,0.4105244764535494,0.3069572918601652,0.32945044428531167,0.4574256893247366,0.5121043508338622,greedy_beta=0.6,8
44,0.006456147727073827,0.5973958366150125,0.5340066260464736,0.43475718225964344,0.5279406224829145,0.6645905313506816,content_based_filtering_,8
45,0.009810197556294841,0.5807937043808162,0.5752011249170794,0.44728058580142593,0.4590320789553225,0.5896297506638657,softmax_from_reward_beta=-1,9
46,0.01620808777164219,0.424919254398267,0.41713964425527716,0.364419429109009,0.24532335550244896,0.4507219675615092,softmax_from_reward_beta=5,9
47,0.011200000000000002,0.7081974412428569,0.7764515875828516,0.5213058795463441,0.4404556592116132,0.618740425034907,greedy_beta=0.2,9
48,0.009600000000000001,0.4507749846671611,0.3388964128632847,0.33090661909792723,0.4833329852372408,0.620023960199203,greedy_beta=0.6,9
49,0.0058125348599629275,0.704753416634833,0.7051142755814094,0.5055817098267879,0.4879051894083386,0.6897443996000892,content_based_filtering_,9
