,index,est,value,beta,se,bias,variance
718,39,SNIPS,-0.3289745454239469,-1.0,16.636101893687382,13.582144156112667,0.1547177062512202
719,39,BIPW,-1.851518654284906,-1.0,31.37435882002601,34.37283758504899,0.06841017829388059
720,40,IPS,-0.040761818600627386,-1.0,14.36808019333958,6.3310531230298315,1.6240103568720732
721,40,SNIPS,-0.814539851019306,-1.0,20.832862674731008,13.582144156112667,0.7724775541858043
722,40,BIPW,-2.8961687754500987,-1.0,44.1684123074525,34.37283758504899,0.6132404829562293
723,41,IPS,-0.16119576062054922,-1.0,15.295600277151946,6.3310531230298315,1.9454686895726325
724,41,SNIPS,-2.804540993657328,-1.0,42.958903941447815,13.582144156112667,8.230634059949876
725,41,BIPW,-2.8651419833416485,-1.0,43.75697106747776,34.37283758504899,0.5656091861208375
726,42,IPS,-0.04803836328640623,-1.0,14.42329699133414,6.3310531230298315,1.64260927671417
727,42,SNIPS,-0.9656807809452687,-1.0,22.235412281652863,13.582144156112667,1.0609987842804978
728,42,BIPW,-1.887848773237372,-1.0,31.782669172326074,34.37283758504899,0.050725523951182426
729,43,IPS,-1.2271751459945355,-1.0,24.7699156631394,6.3310531230298315,6.0554380937439465
730,43,SNIPS,-0.8259462142195072,-1.0,20.937116977396528,13.582144156112667,0.7926579247427624
731,43,BIPW,-1.6027615029272948,-1.0,28.649521086172705,34.37283758504899,0.26041685344646714
732,44,IPS,0.4620547674410399,-1.0,10.809026977516778,6.3310531230298315,0.5952895001284461
733,44,SNIPS,0.7654805579944436,-1.0,8.905943105223546,13.582144156112667,0.49155998075995516
734,44,BIPW,-1.3523430895619626,-1.0,26.031488962433375,34.37283758504899,0.5787085497477212
735,45,IPS,1.1031477938351066,-1.0,7.004573301348074,6.3310531230298315,0.017019038469857674
736,45,SNIPS,1.8918420751722558,-1.0,3.4518710417064757,13.582144156112667,3.339664523651616
737,45,BIPW,-1.598035127010323,-1.0,28.59894733675518,34.37283758504899,0.26526303102616966
738,46,IPS,6.177256049646613,-1.0,5.892721357882321,6.3310531230298315,24.439687374505567
739,46,SNIPS,3.5656621558278014,-1.0,0.033893207904378254,13.582144156112667,12.259066567470025
740,46,BIPW,-1.6348362231812599,-1.0,28.993911341191147,34.37283758504899,0.22870950510913188
741,47,IPS,1.4763654194178235,-1.0,5.168337634710386,6.3310531230298315,0.058932703430363796
742,47,SNIPS,1.3826558781623974,-1.0,5.603197245892254,13.582144156112667,1.737885114185534
743,47,BIPW,-1.361149848344858,-1.0,26.12143256083025,34.37283758504899,0.5653869958578815
